goal,steps,ordered?
How to Perform Exercise Ball Abdominal Crunches - Advanced Version,"To make this exercise more challenging you can do the crunch movement while stretching your arms out behind you past your head, holding one hand in the other. You can also hold a dumbbell in your hands to make it a little more difficult to raise yourself up, which will intensify the workout for your abs.",1
How to Lose Body Fat Fast - Making Lifestyle Changes,Manage stress. Get adequate sleep. Weigh yourself at least every week.,0
How to Play Hot Potato - Putting a Twist on the Classic Game,Use a water balloon as the potato if it’s hot outside. Step back after each toss if you have limited players. Set a goal if you’re playing with older players. Play the game to build hand-eye coordination with young children.,1
How to Increase Albumin - Helping Your Body Retain Albumin,See a dentist regularly. Recognize signs of low albumin. Avoid skipping dialysis treatments. Eat when you’re hungry. Stick with it.,1
How to Make Pickles - Simple Pickles,Gather your ingredients. Slice four medium cucumbers and 4 onions. Layer the cucumbers and onions in a container. Refrigerate overnight. Make pickling liquid. Pickle the cucumbers. Serve.,1
How to Paint Bamboo Furniture - Painting the Furniture,"Choose an enamel spray paint for your furniture. Shake the can of paint and keep it 6 in (15 cm) from your furniture. Apply a thin coat of the paint to the bamboo furniture. Let the spray paint dry for 30 minutes. Spray on additional coats until the furniture has an even finish. Reattach the upholstery, cushions, and hardware if needed.",0
How to Manage a Disciplinary Meeting - Calling a Disciplinary Meeting,"Conduct an investigation into the incident. Keep the employee informed of the investigation. Schedule a date, time, and location for the meeting. Give the employee written notice of the meeting.",0
How to Survive a Doomsday Event - Conditioning Your Body,Get fit. Condition cardio. Stay current on shots and medicines. Learn to defend yourself.,0
How to Hang Floating Shelves - Installing Cleats,"Build your own floating shelves so that they’re hollow. Decide where to install the cleat by locating the studs. Cut a 2x2 piece of wood long enough to fit inside your floating shelves. Use screws to secure the cleat to the wall. Check to make sure the shelf is even before tightening the screws. Add an additional 2x2 section of wood for wide shelves, if desired. Push the shelf onto the cleat. Secure the shelf to the cleat with nails or screws.",0
How to Efficiently Work Offline - Being Up to Date,Be up-to-date prior to going offline. Plan your internet needs. Load the videos. Open the code editors. Use Meteor framework.,1
How to Block a Website with an Internet Filter - Block Website with Internet Filter,"Bring up Aobo Filter with HotKey ""ALT+SHIFT+F1"" Click the green ""+"" button to add any keyword to the ""Black List"", then choose the number of ""Amount of Keywords detected to trigger filtering"". Or you can just easily click the green ""+"" button to add a specified URL. Go to the browser, try to open the websites you add to the Black List, they are blocked. To set up a strict Internet surfing limit, you could choose ""Block All Websites Except the ones in White List"".",0
How to Clean a Stainless Steel Cooktop - Taking On More Serious Stains,Consult your user manual. Mix water and a mild detergent. Clean the cooktop with a baking soda mixture. Use an oil and vinegar mixture. Apply a stainless steel cleaner.,1
How to Arrange Silk Flowers - Creating Your Floral Arrangement,Add floral foam or clay at the bottom of your vessel. Cover the foam or clay with moss or grass. Shape petals and leaves as desired. Trim flower stems to the desired length. Place larger flowers in the center. Arrange smaller flowers around the larger ones. Fill in gaps with greenery.,1
How to Get Rid of Junk Mail - Reducing Phone Books,Pick one. Pick none. Recycle them.,1
How to Do a Clapping Push Up - Intensifying the Movement,Perform multiple clapping push ups. Add resistance. Try clapping push ups from a diamond position. Elevate your feet. Clap more than once.,0
How to Report International Fraud - Reporting International Scams to EConsumer,"Visit their website. Choose your complaint subject. Complete a complaint. Update your complaint, if necessary.",0
How to Create Subtitles Using Aegisub - Creating the Subtitles,Type in the text. Choose where in the video your text will show up. Edit the text appearance. Move the text to the desired position.,0
How to Show Someone That You Don't Need Them - Having Fun without Them,Go out with other people so you’re having a great time. Walk with a group when you might see the person who hurt you. Act like you’re really busy and don’t have time for them. Fill your social media feed with photos of you having fun. Flirt with other people if the person was a romantic interest.,1
How to Go to the MLB All Star Game - Getting Tickets and Accommodations,"Buy tickets online as soon as you know you’re going. Choose seats based on your price range and availability. Get tickets to cheaper events, like the Home Run Derby and the FanFest. Look out for counterfeit tickets. Figure out your travel and accommodations as early as you can.",1
How to Clean Rust Off Cast Iron - Using Vinegar,Mix equal parts white vinegar and water. Soak the pan. Check the pan regularly as it soaks. Wash the cast iron. Place the cast iron in the oven. Re-season your pan.,1
How to Fine Tune All of Your Five Senses - Seeing,Eat food that makes your eyes healthier. Make sure you have adequate lighting in your workspace. Don't stare at a computer all day long. Make sure your eyes are moisturized. Do eye exercises.,1
How to Study for a Geography Exam - Reviewing your Studying,Ask someone to test you. Review your notes and flashcards. Review easy facts. Make a list to guide you.,0
How to Tell if Someone Is a Poser - Analyzing What They Do and Say,Check how loud they are about the thing they love. Look for fake behavior. Test their knowledge.,0
How to Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC,Turn off your PC. Unplug all power cords from the back of the PC. Press the Power button on the front of the computer. Remove the side panel from the computer. Locate the CD/DVD-ROM drive. Remove the power cable and try another. Replace the side panel of your computer and plug in its power cords.,0
How to Ride a Bike With Two People - Sitting on the handlebars,If you have a mountain bike you could try having the second person sit on the handlebars. Have the second person mount the handlebars and hold on. Then have driver use legs to gain some momentum. Note Driver can alternate from which side of neck he looks on. The faster you go the easier it is to balance. For the rider to dismount all they need to do is hop off.,1
